,Variable Name,Description
0,RECTYPE,Record type
1,SRVY_YR,Year of the National Health Interview Survey
2,HHX,Randomly assigned household number unique to a household
3,WTFA_A,Weight - Final Annual
4,URBRRL,2013 NCHS Urban-Rural Classification Scheme for Counties
5,REGION,Household region
6,PSTRAT,Pseudo-stratum for public-use file variance estimation
7,PPSU,Pseudo-PSU for public-use file variance estimation
8,HHRESPSA_FLG,"Sample Adult is the household respondent or the proxywho lives in the household"
9,INTV_QRT,Interview quarter
10,INTV_MON,Interview month
11,HHSTAT_A,Indicates person is the Sample Adult
12,ASTATNEW,Recoded ASTAT
13,AVAIL_A,Sample Adult Available
14,PROXY_A,Proxy Available
15,PROXYREL_A,Proxy's Relationship to Sample Adult
16,AGEP_A,Age of SA (top coded)
17,AGE65,Age 65 or older
18,SEX_A,Sex of Sample Adult
19,EDUC_A,Educational level of sample adult
20,AFNOW,Full-time active duty screener
21,HISP_A,Recode: Hispanic ethnicity of SA
22,HISPALLP_A,Single and multiple race groups with Hispanic origin
23,HISDETP_A,Hispanic origin detail
24,RACEALLP_A,Single and multiple race groups
25,PCNTTC,Top-coded count of all non-deleted household members
26,PCNT18UPTC,Top-coded count of persons 18 or older in the household
27,PCNTLT18TC,Top-coded count of persons under 18 in the household
28,PCNTFAM_A,"Number of persons in Sample Adult family, top-coded 6+"
29,PCNTADLT_A,"Number of adults in Sample Adult family, top-coded 3+"
30,PCNTKIDS_A,"Number of children in Sample Adult family, top-coded 3+"
31,OVER65FLG_A,Indicator for at least 1 person aged 65+ in SA family
32,MLTFAMFLG_A,Indicator for multifamily households
33,MAXEDUC_A,"Highest level of education of all the adults in SA'sfamily"
34,PHSTAT_A,General health status
35,HYPEV_A,Ever been told you had hypertension
36,HYPDIF_A,Told had hypertension on two or more visits
37,HYP12M_A,"Hypertension, past 12 months"
38,HYPMED_A,Now taking high blood pressure medication
39,CHLEV_A,Ever told you had high cholesterol
40,CHL12M_A,"High cholesterol, past 12 months"
41,CHLMED_A,Now taking cholesterol medication
42,CHDEV_A,Ever been told you had coronary heart disease
43,ANGEV_A,Ever been told you had angina
44,MIEV_A,Ever been told you had a heart attack
45,STREV_A,Ever been told you had a stroke
46,ASEV_A,Ever had asthma
47,ASTILL_A,Still have asthma
48,ASAT12M_A,Asthma episode
49,ASER12M_A,Asthma ER visit
50,ASHOSP12M_A,Hospitalized for asthma past 12 months
51,ASDYS12MTC_A,Days can't work because of asthma
52,ASINHALE3M_A,Inhaler for asthma past 3 months
53,ASPREVR_A,Preventive asthma medication
54,ASJOB_A,Job cause/worsen asthma
55,CANEV_A,Ever been told you had cancer
56,BLADDCAN_A,Bladder cancer mentioned
57,BLADDAGETC_A,Age when first told had bladder cancer
58,BLOODCAN_A,Blood cancer mentioned
59,BLOODAGETC_A,Age when first told had blood cancer
60,BONECAN_A,Bone cancer mentioned
61,BONEAGETC_A,Age when first told had bone cancer
62,BRAINCAN_A,Brain cancer mentioned
63,BRAINAGETC_A,Age when first told had brain cancer
64,BREASCAN_A,Breast cancer mentioned
65,BREASAGETC_A,Age when first told had breast cancer
66,CERVICAN_A,Cervical cancer mentioned
67,CERVIAGETC_A,Age when first told had cervical cancer
68,COLONCAN_A,Colon cancer mentioned
69,COLONAGETC_A,Age when first told had colon cancer
70,ESOPHCAN_A,Esophageal cancer mentioned
71,ESOPHAGETC_A,Age when first told had esophageal cancer
72,GALLBCAN_A,Gallbladder cancer mentioned
73,GALLBAGETC_A,Age when first told had gallbladder cancer
74,LARYNCAN_A,Larynx-trachea cancer mentioned
75,LARYNAGETC_A,Age when first told had larynx-trachea cancer
76,LEUKECAN_A,Leukemia mentioned
77,LEUKEAGETC_A,Age when first told had leukemia
78,LIVERCAN_A,Liver cancer mentioned
79,LIVERAGETC_A,Age when first told had liver cancer
80,LUNGCAN_A,Lung cancer mentioned
81,LUNGAGETC_A,Age when first told had lung cancer
82,LYMPHCAN_A,Lymphoma cancer mentioned
83,LYMPHAGETC_A,Age when first told had lymphoma
84,MELANCAN_A,Melanoma cancer mentioned
85,MELANAGETC_A,Age when first told had melanoma cancer
86,MOUTHCAN_A,"Mouth, tongue or lip cancer mentioned"
87,MOUTHAGETC_A,"Age when first told had mouth, tongue or lip cancer"
88,OVARYCAN_A,Ovarian cancer mentioned
89,OVARYAGETC_A,Age when first told had ovarian cancer
90,PANCRCAN_A,Pancreatic cancer mentioned
91,PANCRAGETC_A,Age when first told had pancreatic cancer
92,PROSTCAN_A,Prostate cancer mentioned
93,PROSTAGETC_A,Age when first told had prostate cancer
94,RECTUCAN_A,Rectal cancer mentioned
95,RECTUAGETC_A,Age when first told had rectal cancer
96,SKNMCAN_A,Skin melanoma cancer mentioned
97,SKNMAGETC_A,Age when first told had skin melanoma cancer
98,SKNNMCAN_A,Skin non-melanoma cancer mentioned
99,SKNNMAGETC_A,Age when first told skin non-melanoma cancer
100,SKNDKCAN_A,Skin cancer (don't know what kind) mentioned
101,SKNDKAGETC_A,"Age when first told had skin cancer (don't know whatkind)"
102,STOMACAN_A,Stomach cancer mentioned
103,STOMAAGETC_A,Age when first told had stomach cancer
104,THROACAN_A,Throat - pharynx cancer mentioned
105,THROAAGETC_A,Age when first told had throat-pharynx cancer
106,THYROCAN_A,Thyroid cancer mentioned
107,THYROAGETC_A,Age when first told had thyroid cancer
108,UTERUCAN_A,Uterine cancer mentioned
109,UTERUAGETC_A,Age when first told had uterine cancer
110,HDNCKCAN_A,Head and neck cancers mentioned
111,HDNCKAGETC_A,Age when first told had head or neck cancer
112,COLRCCAN_A,Colorectal cancer mentioned
113,COLRCAGETC_A,Age when first told had colon or rectal cancer
114,OTHERCANP_A,Other cancer mentioned
115,OTHERAGETC_A,Age when first told had other cancer
116,NUMCAN_A,Number of reported types of cancers
117,PREDIB_A,Ever had prediabetes
118,GESDIB_A,Gestational diabetes
119,DIBEV_A,Ever had diabetes
120,DIBAGETC_A,Age first diagnosed w/diabetes
121,DIFYRSTC_A,Years since first diagnosed w/diabetes
122,DIBPILL_A,Taking diabetic pills
123,DIBINS_A,Taking insulin
124,DIBINSTIME_A,Time from diabetes to insulin
125,DIBINSSTOP_A,Ever stop using insulin
126,DIBINSSTYR_A,Only stop insulin in first year
127,DIBTYPE_A,Diabetes type
128,DIBREL_A,Family with diabetes
129,DIABLAST_A,Last time blood sugar test
130,COPDEV_A,"Ever been told you had COPD, emphysema, or chronicbronchitis?"
131,ARTHEV_A,Ever had arthritis
132,DEMENEV_A,Ever had dementia
133,ANXEV_A,Ever had anxiety disorder
134,DEPEV_A,Ever had depression
135,KIDWEAKEV_A,Ever had weak/failing kidneys
136,HEPEV_A,Ever had hepatitis
137,LIVEREV_A,Ever had cirrhosis/liver condition
138,MEDRXTRT_A,Weakened immune system due to prescriptions
139,HLTHCOND_A,Weakened immune system due to health condition
140,PREGNOW_A,Pregnant now
141,HEIGHTTC_A,"Total height in inches, public use"
142,WEIGHTLBTC_A,"Weight without shoes (pounds), public use"
143,BMICAT_A,"Categorical body mass index, public use"
144,WEARGLSS_A,Wear glasses/contact lenses
145,VISIONDF_A,Difficulty seeing
146,HEARAID_A,Use hearing aid
147,HEARAIDFR_A,How often use hearing aid
148,HEARINGDF_A,Difficulty hearing
149,DIFF_A,Difficulty walking/steps
150,EQUIP_A,Use equipment to get around
151,WLK100_A,Difficulty walking 100 yards
152,WLK13M_A,Difficulty walking 1/3 mile
153,STEPS_A,Difficulty walking steps
154,CANEWLKR_A,Use cane or walker
155,WCHAIR_A,Use wheelchair/scooter
156,PERASST_A,Use someone's assistance
157,NOEQWLK100_A,Difficulty walking 100 yards without aid
158,NOEQWLK13M_A,Difficulty walking 1/3 mile without aid
159,NOEQSTEPS_A,Difficulty walking steps without equipment
160,EQWLK100_A,Difficulty walking 100 yards with aid
161,EQWLK13M_A,Difficulty walking 1/3 mile with aid
162,EQSTEPS_A,Difficulty walking steps with equipment
163,COMDIFF_A,Difficulty communicating
164,COGMEMDFF_A,Difficulty remembering/concentrating
165,COGTYPEDFF_A,Remembering/concentrating or both
166,COGFRQDFF_A,Difficulty remembering-how often
167,COGAMTDFF_A,Difficulty remembering-how much
168,UPPSLFCR_A,Difficulty with self care
169,UPPRAISE_A,Difficulty raising soda bottle
170,UPPOBJCT_A,Difficulty using hands and fingers
171,DISAB3_A,"The Washington Group Short Set Composite DisabilityIndicator"
172,SOCERRNDS_A,Difficulty doing errands alone
173,SOCSCLPAR_A,Difficulty participating in social activities
174,SOCWRKLIM_A,Work limited due to health problem
175,DEVDONSET_A,Difficulty doing activities before age 22
176,NOTCOV_A,Coverage status as used in Health United States
177,COVER_A,Health insurance hierarchy under 65
178,COVER65_A,Health Insurance hierarchy 65+
179,SINCOVDE_A,Single service plan - dental
180,SINCOVVS_A,Single service plan - vision
181,SINCOVRX_A,Single service plan - prescription
182,MEDICARE_A,Medicare recode
183,MCPART_A,Type of Medicare coverage
184,MCCHOICE_A,Enrolled in Medicare Advantage Plan
185,MCHMO_A,Medicare HMO
186,MCADVR_A,Medicare Advantage Plan
187,MCPARTD_A,Medicare Part D
188,MEDICAID_A,Medicaid recode
